Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
112,"team725 西安电子科技大学",6,07:06:55,"01:24:48 (-2)",(-3),(-2),,,00:27:37,"00:22:14 (-1)",01:54:45,,"00:13:34 (-1)",01:23:57,
113,"team273 浙江工商大学",6,07:14:45,00:55:28,,03:13:21,,,01:06:41,00:17:43,,,"00:17:28 (-1)","00:44:04 (-1)",
114,"team301 北京邮电大学",6,07:26:35,"01:11:08 (-1)",,02:42:17,,,00:44:14,00:21:13,(-3),,"00:31:56 (-2)",00:55:47,
115,"team881 复旦大学",6,07:29:24,01:14:36,,03:26:47,,,00:35:10,"00:18:47 (-1)",,,"00:20:42 (-1)",00:53:22,
116,"team454 北京化工大学",6,07:36:16,"00:42:38 (-1)",,"02:41:08 (-3)",,,"00:28:55 (-1)","00:14:26 (-1)",(-4),,00:09:23,01:19:46,(-1)
117,"team673 南京大学",6,07:37:14,01:08:01,,03:28:54,,,00:49:24,00:21:33,,,00:23:48,01:25:34,(-1)
118,"team754 华中师范大学",6,07:38:21,01:24:12,,02:07:34,,,00:50:05,00:12:55,,,00:17:15,02:46:20,
119,"team723 西安电子科技大学",6,07:38:23,"00:44:25 (-2)",(-4),"02:46:06 (-2)",,,00:43:12,00:18:26,,,00:29:17,01:16:57,
120,"team132 浙大宁波理工学院",6,07:38:47,01:35:36,,"03:09:07 (-1)",,,00:47:07,00:13:59,,,00:24:32,"00:48:26 (-1)",
121,"team524 厦门大学",6,07:40:23,"01:12:17 (-1)",,02:16:49,,,00:49:09,00:20:44,,,"00:15:34 (-1)","01:45:50 (-1)",
122,"team142 浙江万里学院",6,07:49:27,00:58:41,(-3),(-3),,,00:58:09,00:35:42,(-8),,00:20:34,"01:15:30 (-1)","02:40:51 (-2)"
123,"team021 华东理工大学",6,07:58:29,00:57:07,,03:10:14,,,00:34:07,00:22:00,,,"00:12:42 (-2)","01:42:19 (-1)",
124,"team790 香港科技大学（广州）",6,07:59:38,01:13:39,(-2),"02:55:49 (-1)",,,00:32:16,"00:15:49 (-1)",,,"00:21:33 (-1)",01:40:32,
125,"team536 电子科技大学",6,08:12:04,"00:47:17 (-3)",,"02:34:51 (-2)",,,00:38:00,"00:16:24 (-1)",(-2),,00:17:04,"01:18:28 (-1)",(-4)
126,"team143 浙江万里学院",6,08:18:05,"01:48:49 (-2)",,02:34:18,,,00:47:52,"00:12:28 (-1)",,,00:17:19,01:37:19,
127,"team675 南京大学",6,08:19:17,01:12:27,,,,,00:40:33,"00:11:09 (-1)","03:26:34 (-2)",,00:09:07,"00:59:27 (-2)",
128,"team305 北京邮电大学",6,08:20:41,01:43:32,,02:34:36,,,00:57:04,"00:27:51 (-1)",,,"00:23:17 (-1)",01:34:21,(-1)
129,"team686 青岛科技大学",6,08:32:19,00:50:02,,04:06:39,,,00:51:23,00:13:19,,,00:16:53,"01:34:03 (-2)",
130,"team600 温州中学",6,08:33:05,00:10:26,,"03:50:58 (-1)",,,00:34:21,"00:25:10 (-2)",,,00:10:35,"01:41:35 (-2)",(-3)
131,"team028 武汉大学",6,08:40:31,00:59:23,,(-3),,,"00:35:50 (-1)","00:24:17 (-1)","02:46:41 (-5)",,00:16:44,01:17:36,
132,"team110 南京外国语学校",6,08:49:04,01:20:29,,,,,00:31:19,"00:12:01 (-1)",,,00:16:16,"02:20:57 (-4)","01:08:02 (-4)"
133,"team180 广东工业大学",6,08:52:07,01:24:21,,"04:02:26 (-1)",,,00:46:55,00:16:38,,,00:27:06,"01:14:41 (-1)",
134,"team823 南京邮电大学",6,08:52:36,01:15:16,,"03:48:07 (-1)",,,00:42:23,"00:15:00 (-1)",,,00:18:48,01:53:02,
135,"team033 中国传媒大学",6,08:52:38,01:05:25,,"02:05:16 (-1)",,,"00:53:57 (-1)","00:28:34 (-1)",(-3),,"00:10:24 (-1)",02:49:02,
136,"team090 长沙理工大学",6,08:53:43,"00:24:01 (-2)",,"02:15:59 (-1)",,,01:07:37,"00:47:34 (-1)",,,"00:31:34 (-2)","00:46:58 (-3)",(-1)
137,"team971 天津大学",6,09:00:15,"02:41:51 (-1)",,"02:27:51 (-1)",,,00:38:58,"00:15:19 (-1)",,,00:16:35,"01:19:41 (-1)",(-2)
138,"team011 华东师范大学",6,09:00:41,01:05:35,,(-4),,,00:33:08,"00:18:50 (-1)","03:40:57 (-5)",,00:22:14,00:59:57,(-3)
139,"team563 重庆大学",6,09:01:36,"01:06:30 (-1)",,"03:36:33 (-2)",,,00:39:17,"00:23:26 (-2)",(-1),,00:16:16,01:19:34,
140,"team843 四川省成都市第七中学",6,09:09:04,01:16:48,,02:49:57,,,"00:39:05 (-1)","00:55:23 (-3)",,,"00:22:51 (-1)","01:05:00 (-1)",(-2)
141,"team638 厦门理工学院",6,09:10:27,00:14:24,,(-12),,,00:53:11,00:22:40,"03:49:53 (-2)",,"00:37:43 (-1)","01:12:36 (-3)",
142,"team814 重庆市育才中学",6,09:10:33,"01:34:04 (-2)",,(-7),,,00:35:48,"00:07:52 (-1)",,,"00:11:43 (-1)","00:39:03 (-1)","02:02:03 (-7)"
143,"team332 同济大学",6,09:11:44,01:46:25,,"01:02:07 (-1)",,,01:19:21,"00:36:16 (-5)",,,00:21:34,02:06:01,(-7)
144,"team063 浙江工业大学",6,09:12:01,00:37:10,,(-1),,,00:51:50,"00:34:24 (-1)","03:21:30 (-3)",,"00:27:23 (-1)",01:39:44,
145,"team660 广州外语外贸大学",6,09:13:23,"01:26:55 (-2)",,"03:11:47 (-1)",,,00:38:13,00:13:37,,,00:19:30,02:23:21,
146,"team147 武汉大学",6,09:15:06,"00:48:05 (-1)",,03:05:57,,,01:00:12,"00:45:24 (-3)",(-6),,00:12:11,02:03:17,(-1)
147,"team560 重庆大学",6,09:19:54,"01:56:37 (-1)",,"02:34:03 (-1)",,,01:13:12,"00:49:26 (-1)",,,00:18:33,01:28:03,
148,"team010 山东科技大学",6,09:21:15,"01:28:28 (-1)",,(-3),,,00:30:36,"00:23:03 (-1)",03:52:23,,"00:11:32 (-1)",01:55:13,
149,"team685 南京大学",6,09:21:52,"03:20:02 (-3)",,02:06:25,,,"00:32:58 (-1)","00:16:24 (-1)",,,"00:14:01 (-1)",00:52:02,(-5)
150,"team542 北京交通大学",6,09:23:34,01:18:48,,02:29:54,,,01:01:51,"00:39:41 (-1)",(-3),,00:23:31,"02:09:49 (-3)",
151,"team657 南京理工大学",6,09:24:28,"01:47:54 (-1)",,,,,00:57:55,"00:21:22 (-1)","03:55:47 (-1)",,"00:22:55 (-1)",00:38:35,
152,"team184 广东工业大学",6,09:24:44,"01:34:32 (-3)",,"02:37:12 (-1)",,,00:57:35,00:10:10,(-2),,00:10:17,"01:34:58 (-3)",
153,"team821 南京邮电大学",6,09:33:06,01:15:07,,"03:50:21 (-1)",,,00:55:19,00:21:47,,,00:18:37,"02:11:55 (-1)",
154,"team772 上海大学",6,09:35:03,"01:43:25 (-1)",,03:53:58,,,00:49:00,"00:26:38 (-3)",,,"00:16:41 (-1)",00:45:21,
